Title,Year,Genres,Rating,Votes,Type
Double Jeopardy,1999,"Crime,Drama,Mystery",6.5,103134,movie
Show Me Love,1998,"Comedy,Drama,Romance",7.5,57866,movie
The Messenger: The Story of Joan of Arc,1999,"Adventure,Biography,Drama",6.4,72762,movie
Never Been Kissed,1999,"Comedy,Drama,Romance",6.0,102659,movie
Office Space,1999,Comedy,7.6,306978,movie
Taxi,1998,"Action,Comedy,Crime",7.0,95742,movie
The Celebration,1998,Drama,8.0,100320,movie
Following,1998,"Crime,Mystery,Thriller",7.4,109584,movie
The Thomas Crown Affair,1999,"Crime,Romance,Thriller",6.9,108162,movie
Psycho,1998,"Horror,Mystery,Thriller",4.6,52702,movie
Perfect Blue,1997,"Animation,Crime,Drama",8.0,119522,movie
Will & Grace,1998,"Comedy,Romance",7.4,63881,tvSeries
Charmed,1998,"Drama,Fantasy,Mystery",7.2,98284,tvSeries
"South Park: Bigger, Longer & Uncut",1999,"Animation,Comedy,Fantasy",7.7,224028,movie
The Virgin Suicides,1999,"Drama,Romance",7.2,185146,movie
Sex and the City,1998,"Comedy,Drama,Romance",7.4,158990,tvSeries
Behind Enemy Lines,2001,"Action,Drama,Thriller",6.4,118835,movie
Cold Mountain,2003,"Adventure,Drama,Romance",7.2,163684,movie
Charlie's Angels,2000,"Action,Adventure,Comedy",5.7,206782,movie
Rules of Engagement,2000,"Drama,Thriller,War",6.4,52556,movie
She's All That,1999,"Comedy,Romance",6.0,112616,movie
What Lies Beneath,2000,"Drama,Horror,Mystery",6.6,144862,movie
Angel,1999,"Action,Adventure,Drama",7.9,80264,tvSeries
Cast Away,2000,"Adventure,Drama,Romance",7.8,685287,movie
Ghost World,2001,"Comedy,Drama",7.3,131819,movie
Shaft,2000,"Action,Crime,Thriller",6.0,85020,movie
Sleepy Hollow,1999,"Fantasy,Horror,Mystery",7.3,410953,movie
Jurassic Park III,2001,"Action,Adventure,Sci-Fi",6.0,368050,movie
Runaway Bride,1999,"Comedy,Romance",5.6,110088,movie
American Pie,1999,Comedy,7.0,465707,movie
The Beach,2000,"Adventure,Drama,Romance",6.6,267603,movie
Bringing Out the Dead,1999,"Drama,Thriller",6.8,80932,movie
Hollow Man,2000,"Action,Horror,Sci-Fi",5.9,145803,movie
Stir of Echoes,1999,"Horror,Mystery,Thriller",6.9,92978,movie
The Sum of All Fears,2002,"Action,Drama,Thriller",6.5,133683,movie
Along Came a Spider,2001,"Crime,Drama,Mystery",6.4,103518,movie
Stuart Little,1999,"Adventure,Comedy,Family",6.0,159591,movie
The King of Queens,1998,Comedy,7.4,94048,tvSeries
That '70s Show,1998,"Comedy,Drama,Romance",8.1,197947,tvSeries
Ghost Dog: The Way of the Samurai,1999,"Crime,Drama",7.5,103446,movie
Romeo Must Die,2000,"Action,Crime,Thriller",6.1,76909,movie
Sinbad: Legend of the Seven Seas,2003,"Adventure,Animation,Comedy",6.8,63852,movie
Spirit: Stallion of the Cimarron,2002,"Adventure,Animation,Drama",7.2,94044,movie
The Straight Story,1999,"Biography,Drama",8.0,108339,movie
Mulholland Drive,2001,"Drama,Mystery,Thriller",7.9,425030,movie
Hellboy,2004,"Action,Adventure,Fantasy",6.9,369149,movie
